time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-04 00:00:00,23.7,67,0.0,11.2
2026-08-04 01:00:00,23.6,65,0.0,6.1
2026-08-04 02:00:00,21.4,77,0.0,6.5
2026-08-04 03:00:00,21.8,79,0.0,4.3
2026-08-04 04:00:00,21.7,72,0.0,6.1
2026-08-04 05:00:00,20.2,88,0.0,2.2
2026-08-04 06:00:00,21.3,80,0.0,1.4
2026-08-04 07:00:00,21.5,76,0.0,9.4
2026-08-04 08:00:00,20.6,86,0.0,4.7
2026-08-04 09:00:00,23.0,78,0.0,2.2
2026-08-04 10:00:00,22.8,74,0.0,5.4
2026-08-04 11:00:00,26.1,67,0.0,2.9
2026-08-04 12:00:00,28.1,60,0.0,5.0
2026-08-04 13:00:00,29.2,54,0.0,6.1
2026-08-04 14:00:00,29.9,52,0.0,8.6
2026-08-04 15:00:00,31.1,47,0.0,5.8
2026-08-04 16:00:00,31.7,44,0.0,10.4
2026-08-04 17:00:00,31.1,45,0.0,10.4
2026-08-04 18:00:00,25.0,82,2.0,10.8
2026-08-04 19:00:00,26.1,75,0.0,6.8
2026-08-04 20:00:00,25.9,76,0.0,11.2
2026-08-04 21:00:00,25.1,78,0.0,7.6
2026-08-04 22:00:00,24.5,80,0.0,9.0
2026-08-04 23:00:00,23.3,76,0.0,9.7
2026-08-05 00:00:00,22.6,79,0.0,6.5
2026-08-05 01:00:00,22.2,80,0.0,6.5
2026-08-05 02:00:00,21.8,81,0.0,6.5
2026-08-05 03:00:00,21.3,83,0.0,6.1
2026-08-05 04:00:00,21.0,84,0.0,4.3
2026-08-05 05:00:00,20.5,86,0.0,7.6
2026-08-05 06:00:00,20.3,82,0.0,6.1
2026-08-05 07:00:00,20.4,75,0.0,7.2
2026-08-05 08:00:00,21.5,70,0.0,7.6
2026-08-05 09:00:00,21.7,72,0.0,5.8
2026-08-05 10:00:00,22.3,71,0.0,7.6
2026-08-05 11:00:00,23.7,66,0.0,10.4
2026-08-05 12:00:00,23.7,64,0.0,10.4
2026-08-05 13:00:00,25.4,54,0.0,11.9
2026-08-05 14:00:00,26.5,49,0.0,12.2
2026-08-05 15:00:00,26.3,48,0.0,15.1
2026-08-05 16:00:00,26.6,45,0.0,15.5
2026-08-05 17:00:00,26.9,43,0.0,16.6
2026-08-05 18:00:00,25.4,48,0.0,20.2
2026-08-05 19:00:00,24.2,59,0.0,14.8
2026-08-05 20:00:00,23.7,61,0.0,9.0
2026-08-05 21:00:00,23.1,63,0.0,7.6
2026-08-05 22:00:00,22.2,68,0.0,7.6
2026-08-05 23:00:00,21.5,72,0.0,2.9
